ID Description GeneRatio BgRatio pvalue p.adjust qvalue geneID Count
GO:0002460 "adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" 32/401 342/22215 3.060367115310742e-14 5.6728077710169116e-12 4.479264596045723e-12 214855/12010/50909/232371/50908/12266/12268/60533/16149/13731/14102/23882/14964/14998/14999/14972/15015/15024/15039/15894/16161/16068/16190/16362/54123/140474/17874/18128/192656/21355/24099/70450 32
GO:0042742 "defense response to bacterium" 31/401 325/22215 4.649328020434301e-14 8.243460724926556e-12 6.509059228608021e-12 12010/12362/12608/626578/634650/14469/55932/17472/100702/229900/76074/236573/69146/14972/16145/60440/15900/15944/54396/100038882/17476/17874/107607/18126/246728/246727/192656/74748/24088/106869/230979 31
GO:0031349 "positive regulation of defense response" 28/401 266/22215 7.034406900588864e-14 1.1952629725250578e-11 9.43782925829006e-12 11501/12266/16423/16149/12608/229898/15930/15950/15951/226695/226691/381308/70110/16145/54123/15944/85305/100040462/18081/434341/107607/56312/80285/192656/24088/76681/319236/58203 28
GO:0045071 "negative regulation of viral genome replication" 15/401 58/22215 7.964815119997388e-14 1.299220642373974e-11 1.0258681874556637e-11 56417/80287/69550/19106/15951/226691/66141/100038882/57444/23961/246728/246727/231655/23962/78781 15
GO:0032732 "positive regulation of interleukin-1 production" 16/401 70/22215 9.623305764935416e-14 1.5093784965156394e-11 1.1918094062727706e-11 12362/12363/229898/69146/15275/15951/226695/226691/381308/100040462/17874/107607/55991/192656/24088/217203 16
GO:0060337 "type I interferon signaling pathway" 14/401 50/22215 1.61768600914932e-13 2.356044123325331e-11 1.8603389105217184e-11 56417/52668/66141/15976/54123/100038882/17874/434341/246728/246727/56045/20846/20847/58203 14
GO:0071357 "cellular response to type I interferon" 14/401 50/22215 1.61768600914932e-13 2.356044123325331e-11 1.8603389105217184e-11 56417/52668/66141/15976/54123/100038882/17874/434341/246728/246727/56045/20846/20847/58203 14
GO:0002250 "adaptive immune response" 36/401 473/22215 3.889358783053994e-13 5.4692431438945475e-11 4.3185294073909866e-11 214855/12010/50909/232371/50908/12266/12268/60533/16149/13169/13731/14102/23882/14964/14998/14999/14972/15015/15024/15039/15894/16161/16068/16190/16362/54123/140474/17874/18128/101540/192656/21354/21355/230979/24099/70450 36
GO:0034340 "response to type I interferon" 14/401 56/22215 9.075258617930714e-13 1.2336301547973817e-10 9.740777583245634e-11 56417/52668/66141/15976/54123/100038882/17874/434341/246728/246727/56045/20846/20847/58203 14
GO:0019079 "viral genome replication" 19/401 126/22215 1.330684471552702e-12 1.7504939596748127e-10 1.3821948381934518e-10 56417/80287/69550/216238/19106/15951/226691/52668/66141/100038882/57444/18128/23961/246728/246727/231655/23962/13830/78781 19
GO:0032611 "interleukin-1 beta production" 17/401 98/22215 1.9708155197946907e-12 2.511558028038359e-10 1.9831331167934076e-10 12362/12363/229898/69146/15275/15951/226695/226691/381308/100040462/17874/107607/55991/192656/24088/217203/106869 17
GO:0045089 "positive regulation of innate immune response" 19/401 129/22215 2.0509909729259126e-12 2.5345276326035976e-10 2.0012699796428603e-10 11501/16149/229898/15950/15951/226695/226691/381308/70110/16145/54123/15944/100040462/434341/80285/24088/76681/319236/58203 19
GO:0045069 "regulation of viral genome replication" 16/401 90/22215 5.995750738348481e-12 7.191373973819148e-10 5.678328640435915e-10 56417/80287/69550/19106/15951/226691/66141/100038882/57444/18128/23961/246728/246727/231655/23962/78781 16
GO:0032651 "regulation of interleukin-1 beta production" 16/401 92/22215 8.521648810850852e-12 9.928938243042793e-10 7.839916905982784e-10 12362/12363/229898/69146/15275/15951/226695/226691/381308/100040462/17874/107607/55991/192656/24088/217203 16
GO:0045824 "negative regulation of innate immune response" 15/401 81/22215 1.494711308876569e-11 1.6931757548885134e-9 1.3369362262729313e-9 16365/56417/93694/80861/15951/226691/100038882/434341/246727/547253/56045/74748/20847/21354/21355 15
GO:0071216 "cellular response to biotic stimulus" 27/401 318/22215 3.17521320733536e-11 3.4995998539225936e-9 2.7632936561134754e-9 16365/214855/12010/12122/12362/60533/12608/15945/56066/17329/13198/626578/14469/100702/16145/15900/15944/17874/18126/18828/192656/20846/24088/414084/76681/319236/230594 27
GO:0032612 "interleukin-1 production" 17/401 118/22215 4.334323535273517e-11 4.651413520222474e-9 3.67276889041598e-9 12362/12363/229898/69146/15275/15951/226695/226691/381308/100040462/17874/107607/55991/192656/24088/217203/106869 17
GO:0050830 "defense response to Gram-positive bacterium" 18/401 139/22215 7.153217255007557e-11 7.479697427159184e-9 5.905989631057522e-9 12010/626578/634650/14469/55932/17472/100702/229900/76074/236573/69146/17476/17874/107607/192656/24088/106869/230979 18
GO:0035455 "response to interferon-alpha" 10/401 31/22215 1.0390030723102238e-10 1.0592636322202733e-8 8.363974732097301e-9 56417/69550/19106/15951/15957/15958/15959/66141/15976/21822 10
GO:0002237 "response to molecule of bacterial origin" 29/401 387/22215 1.1876962022293958e-10 1.1813231982174333e-8 9.327760417508913e-9 16365/214855/12010/12362/60533/12608/15945/56066/17329/19106/626578/14469/100702/15930/16145/15900/15944/56615/17874/18126/18828/192656/20846/21355/24088/414084/76681/319236/230594 29
GO:0007249 "I-kappaB kinase/NF-kappaB signaling" 22/401 226/22215 1.6338475643893878e-10 1.5863881827571248e-8 1.2526164660318641e-8 12362/16149/16362/17874/107607/192656/268749/19877/20846/73174/24088/217203/22035/414084/76681/319236/74735/217069/94094/24108/30940/78781 22
GO:0071219 "cellular response to molecule of bacterial origin" 25/401 294/22215 1.6804967956208978e-10 1.5937362633818653e-8 1.2584185306742536e-8 16365/214855/12010/12362/60533/12608/15945/56066/17329/626578/14469/100702/16145/15900/15944/17874/18126/18828/192656/20846/24088/414084/76681/319236/230594 25
GO:0032652 "regulation of interleukin-1 production" 16/401 112/22215 1.8516875798179873e-10 1.7161777160222165e-8 1.3550986379577087e-8 12362/12363/229898/69146/15275/15951/226695/226691/381308/100040462/17874/107607/55991/192656/24088/217203 16
GO:0060759 "regulation of response to cytokine stimulus" 17/401 131/22215 2.3455287339405124e-10 2.1255702615576466e-8 1.6783561162863223e-8 56417/12362/16149/16145/54123/15944/100038882/434341/246727/547253/80285/192656/56045/12703/20847/24088/58203 17
GO:0002443 "leukocyte mediated immunity" 31/401 453/22215 2.5719762261444923e-10 2.2801128370037478e-8 1.8003833583011447e-8 214855/12010/69550/50909/232371/50908/12266/12268/16149/93694/13731/14102/14389/14964/14998/14999/14972/15015/15024/15039/15894/16190/54123/381886/140474/17874/20910/21354/21355/24088/70450 31
GO:0002832 "negative regulation of response to biotic stimulus" 16/401 115/22215 2.7747033595307225e-10 2.407497936205593e-8 1.9009669824870055e-8 16365/56417/93694/80861/15951/226691/100038882/140474/434341/246727/547253/56045/74748/20847/21354/21355 16
GO:0002683 "negative regulation of immune system process" 31/401 458/22215 3.3683911237523865e-10 2.861728958887965e-8 2.2596290455172258e-8 16365/56417/11920/69550/60533/16423/16149/12608/93694/80861/14102/15930/15951/226691/16190/16362/100038882/140474/434341/246727/547253/18795/193385/56045/74748/12703/20847/21354/21355/213233/230979 31
GO:0071222 "cellular response to lipopolysaccharide" 24/401 285/22215 4.788161995178521e-10 3.98492339108939e-8 3.1465064539744566e-8 16365/214855/12010/12362/60533/12608/15945/56066/17329/626578/14469/100702/16145/15900/15944/17874/18126/18828/192656/20846/414084/76681/319236/230594 24
GO:0032606 "type I interferon production" 15/401 103/22215 5.223780514196405e-10 4.2605153873785877e-8 3.3641146511424845e-8 16365/80861/17472/16362/54123/15900/16391/100038882/17874/246728/246727/20846/24088/69097/78781 15
GO:0001959 "regulation of cytokine-mediated signaling pathway" 16/401 121/22215 6.004560623705543e-10 4.801293769308079e-8 3.791114746731735e-8 56417/12362/16149/16145/54123/15944/100038882/434341/246727/547253/80285/192656/56045/12703/20847/58203 16
GO:0002449 "lymphocyte mediated immunity" 26/401 338/22215 6.366854233833556e-10 4.993082993379469e-8 3.942552044796933e-8 214855/12010/50909/232371/50908/12266/12268/16149/93694/13731/14102/14964/14998/14999/14972/15015/15024/15039/15894/16190/54123/140474/17874/21354/21355/70450 26
GO:0032496 "response to lipopolysaccharide" 27/401 367/22215 7.925984811303468e-10 6.098521898206706e-8 4.815409640074938e-8 16365/214855/12010/12362/60533/12608/15945/56066/17329/19106/626578/14469/100702/15930/16145/15900/15944/56615/17874/18126/18828/192656/20846/414084/76681/319236/230594 27
GO:0019882 "antigen processing and presentation" 16/401 124/22215 8.682812951330432e-10 6.557131706578797e-8 5.177529204311851e-8 12010/16149/14964/14998/14999/14972/15015/15024/15039/15894/107607/16913/16912/21354/21355/213233 16
GO:0060333 "interferon-gamma-mediated signaling pathway" 8/401 21/22215 1.7423181356042307e-9 1.2918497012716458e-7 1.020048072117386e-7 16145/16362/15944/434341/547253/80285/12703/20846 8
GO:0060760 "positive regulation of response to cytokine stimulus" 11/401 53/22215 2.233298567132595e-9 1.6263199208512006e-7 1.2841466761012422e-7 12362/16149/16145/54123/15944/434341/547253/80285/192656/24088/58203 11
GO:0002697 "regulation of immune effector process" 28/401 413/22215 2.3926820882719834e-9 1.7118171150830086e-7 1.3516554954799624e-7 214855/12010/69550/12266/16423/16149/93694/80861/14389/14964/14999/14972/15015/15024/15039/15275/16190/16362/140474/192656/20361/74748/20910/21354/21355/24088/230979/70450 28
GO:0032479 "regulation of type I interferon production" 14/401 101/22215 3.840246784060033e-9 2.700090756102899e-7 2.1319990766678114e-7 16365/80861/17472/16362/54123/15900/100038882/17874/246728/246727/20846/24088/69097/78781 14
GO:1903901 "negative regulation of viral life cycle" 9/401 33/22215 4.891605030958963e-9 3.3810110705509577e-7 2.6696556270657393e-7 69550/16149/12265/66141/76681/319236/69097/217069/22670 9
GO:0050777 "negative regulation of immune response" 19/401 205/22215 6.637693789156087e-9 4.511419212029754e-7 3.562229000180433e-7 16365/56417/93694/80861/15951/226691/16190/16362/100038882/140474/434341/246727/547253/56045/74748/20847/21354/21355/230979 19
GO:0002819 "regulation of adaptive immune response" 20/401 229/22215 7.374725826577214e-9 4.930185560783915e-7 3.892888059275185e-7 214855/12010/12266/60533/16149/14964/14998/14972/15015/15024/15039/16161/16190/16362/54123/140474/192656/21355/230979/24099 20
GO:0044403 "biological process involved in symbiotic interaction" 21/401 253/22215 7.665854435551606e-9 5.042153933577332e-7 3.9812985939477696e-7 16149/12265/14469/55932/100702/229900/236573/15894/52668/66141/15944/16476/17874/13830/76681/319236/74735/69097/217069/22670/94094 21
GO:0043123 "positive regulation of I-kappaB kinase/NF-kappaB signaling" 15/401 125/22215 8.087450583127153e-9 5.235019599681354e-7 4.1335858535983224e-7 12362/16149/17874/107607/192656/268749/217203/22035/76681/319236/74735/217069/94094/24108/78781 15
GO:0001961 "positive regulation of cytokine-mediated signaling pathway" 10/401 47/22215 9.376812688858514e-9 5.974787835182034e-7 4.71770888408194e-7 12362/16149/16145/54123/15944/434341/547253/80285/192656/58203 10
GO:0002221 "pattern recognition receptor signaling pathway" 17/401 170/22215 1.3417253212997547e-8 8.41777824655446e-7 6.646700822438784e-7 16365/80861/70110/16145/16362/54123/15944/17874/18081/107607/246727/231655/192656/24088/414084/69097/78781 17
GO:0048002 "antigen processing and presentation of peptide antigen" 12/401 78/22215 1.50826817276025e-8 9.319269103812575e-7 7.358520479224249e-7 12010/16149/14964/14998/14999/14972/15015/15024/15039/21354/21355/213233 12
GO:0010508 "positive regulation of autophagy" 15/401 131/22215 1.5439778730568667e-8 9.397525024367019e-7 7.420311569019569e-7 29810/12122/12176/13198/15194/16145/15944/107607/192656/19877/24088/76681/319236/74735/94094 15
GO:0031331 "positive regulation of cellular catabolic process" 27/401 422/22215 1.582497815710986e-8 9.490332488925589e-7 7.493592597925551e-7 11501/11920/29810/12122/12176/13198/209200/68545/242960/15194/16009/16145/15944/107607/53312/56312/192656/56736/19877/54403/24088/76681/319236/74735/94094/230594/78781 27
GO:0002699 "positive regulation of immune effector process" 22/401 289/22215 1.6367090716876434e-8 9.67318781788726e-7 7.63797566787567e-7 214855/12010/12266/16149/80861/14389/14964/14999/14972/15015/15024/15039/15275/16190/16362/192656/20361/20910/21355/24088/230979/70450 22
GO:0002218 "activation of innate immune response" 10/401 51/22215 2.169785970387366e-8 1.2640553124628114e-6 9.981015463781883e-7 15950/15951/226695/226691/381308/100040462/24088/76681/319236/58203 10
GO:0002253 "activation of immune response" 22/401 300/22215 3.2025378018847e-8 1.8394294586036345e-6 1.452418552404047e-6 50909/232371/50908/12266/12268/16423/14962/15950/15951/226695/226691/381308/100040462/18828/101540/192656/268749/24088/76681/319236/22217/58203 22
GO:0032481 "positive regulation of type I interferon production" 11/401 69/22215 4.125678161229278e-8 2.336738269651805e-6 1.8450949554386493e-6 80861/16362/54123/100038882/17874/246728/246727/20846/24088/69097/78781 11
GO:0010506 "regulation of autophagy" 20/401 256/22215 4.8175698600542055e-8 2.6912397108631575e-6 2.1250102670376083e-6 11920/29810/12122/12176/12362/13198/15194/16145/60440/15944/17751/107607/56312/192656/19877/24088/76681/319236/74735/94094 20
GO:0043122 "regulation of I-kappaB kinase/NF-kappaB signaling" 17/401 188/22215 5.994681856811612e-8 3.3035557583888854e-6 2.6084966998558638e-6 12362/16149/17874/107607/192656/268749/20846/217203/22035/414084/76681/319236/74735/217069/94094/24108/78781 17
GO:0051092 "positive regulation of NF-kappaB transcription factor activity" 15/401 151/22215 1.050965249924218e-7 5.714448385587948e-6 4.512144139674643e-6 11501/19106/15894/17874/107607/101540/192656/268749/24088/76681/319236/74735/69097/217069/94094 15
GO:0002821 "positive regulation of adaptive immune response" 15/401 153/22215 1.2511557886731867e-7 6.7134385608016515e-6 5.300949525694291e-6 214855/12010/12266/60533/16149/14964/14998/14972/15015/15024/15039/16161/192656/21355/24099 15
GO:0060330 "regulation of response to interferon-gamma" 6/401 15/22215 1.4534134723486256e-7 7.598743769535507e-6 5.999988949952018e-6 16145/15944/434341/547253/80285/12703 6
GO:0060334 "regulation of interferon-gamma-mediated signaling pathway" 6/401 15/22215 1.4534134723486256e-7 7.598743769535507e-6 5.999988949952018e-6 16145/15944/434341/547253/80285/12703 6
GO:0060338 "regulation of type I interferon-mediated signaling pathway" 8/401 36/22215 2.0441376682352685e-7 1.055189039375117e-5 8.331801635085525e-6 56417/54123/100038882/434341/246727/56045/20847/58203 8
GO:0046596 "regulation of viral entry into host cell" 9/401 50/22215 2.4230914434959524e-7 1.2351708633220617e-5 9.75294306007121e-6 16149/12265/66141/76681/319236/74735/217069/22670/94094 9
GO:0009896 "positive regulation of catabolic process" 27/401 491/22215 3.416411551123293e-7 1.720015593269233e-5 1.3581290363724698e-5 11501/11920/29810/12122/12176/13198/209200/68545/242960/15194/16009/16145/15944/107607/53312/56312/192656/56736/19877/54403/24088/76681/319236/74735/94094/230594/78781 27
GO:0002822 "regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" 17/401 213/22215 3.633511406206681e-7 1.8070072578671763e-5 1.4268178936567696e-5 214855/12010/12266/60533/14964/14998/14972/15015/15024/15039/16161/16190/16362/140474/192656/21355/24099 17
GO:0002824 "positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" 14/401 146/22215 4.327198617686614e-7 2.1260621642079534e-5 1.6787445239699876e-5 214855/12010/12266/60533/14964/14998/14972/15015/15024/15039/16161/192656/21355/24099 14
GO:0045785 "positive regulation of cell adhesion" 26/401 467/22215 4.474857816359092e-7 2.1724369256086165e-5 1.7153621629376517e-5 11501/11920/12010/68732/60533/16423/16149/12667/13612/13731/218952/14998/14999/15894/16161/16190/16362/56048/18081/101540/192656/19877/12703/230979/24099/70450 26
GO:0044406 "adhesion of symbiont to host" 6/401 18/22215 5.148723384142914e-7 2.470175760062918e-5 1.950457564345904e-5 14469/55932/100702/229900/236573/15894 6
GO:0002474 "antigen processing and presentation of peptide antigen via MHC class I" 9/401 55/22215 5.678799886083474e-7 2.661855854649242e-5 2.1018086934699756e-5 12010/14964/14972/15015/15024/15039/21354/21355/213233 9
GO:0052372 "modulation by symbiont of entry into host" 9/401 55/22215 5.678799886083474e-7 2.661855854649242e-5 2.1018086934699756e-5 16149/12265/66141/76681/319236/74735/217069/22670/94094 9
GO:0002483 "antigen processing and presentation of endogenous peptide antigen" 8/401 41/22215 5.964897573819851e-7 2.7331294725884668e-5 2.1580865379438112e-5 12010/14964/14972/15015/15024/15039/21354/21355 8
GO:0019885 "antigen processing and presentation of endogenous peptide antigen via MHC class I" 8/401 41/22215 5.964897573819851e-7 2.7331294725884668e-5 2.1580865379438112e-5 12010/14964/14972/15015/15024/15039/21354/21355 8
GO:0046597 "negative regulation of viral entry into host cell" 7/401 30/22215 8.430614589433117e-7 3.812407159521004e-5 3.0102871637218326e-5 16149/12265/66141/76681/319236/217069/22670 7
GO:0050727 "regulation of inflammatory response" 21/401 334/22215 8.507333288779093e-7 3.812407159521004e-5 3.0102871637218326e-5 16365/11501/11920/12266/12362/12364/12363/16423/12608/15930/70110/85305/17874/18081/56312/20361/74748/12702/53416/24088/58203 21
GO:0070374 "positive regulation of ERK1 and ERK2 cascade" 17/401 227/22215 8.883046505095824e-7 3.9375069182370405e-5 3.109066276783538e-5 11475/73167/12266/16149/218952/14257/384009/15894/16476/17751/107607/18128/101540/76089/192656/20361/24088 17
GO:0051090 "regulation of DNA-binding transcription factor activity" 24/401 424/22215 9.320692145810357e-7 4.087073394689746e-5 3.2271643773665964e-5 16365/11501/12913/13078/13198/19106/15894/17874/434341/107607/56312/18712/101540/192656/268749/24088/76681/319236/74735/69097/217069/22670/94094/230594 24
GO:0070265 "necrotic cell death" 9/401 59/22215 1.0530514500862273e-6 4.5301094704699234e-5 3.576986879576546e-5 12176/12362/14102/74568/17751/18081/56312/268749/58203 9
GO:0019883 "antigen processing and presentation of endogenous antigen" 8/401 44/22215 1.0553222160241362e-6 4.5301094704699234e-5 3.576986879576546e-5 12010/14964/14972/15015/15024/15039/21354/21355 8
GO:0002764 "immune response-regulating signaling pathway" 22/401 372/22215 1.2970124455350747e-6 5.5096007842625355e-5 4.3503959110655636e-5 16365/16423/80861/70110/16145/16362/54123/15944/17874/18081/107607/246727/231655/18828/101540/192656/268749/24088/414084/69097/22217/78781 22
GO:0050867 "positive regulation of cell activation" 22/401 377/22215 1.6160083434310398e-6 6.793898994342041e-5 5.3644813049978854e-5 11475/11501/12010/60533/16423/16149/12575/14389/14998/14999/16161/16169/16190/16362/85305/56048/17874/192656/12703/20910/230979/24099 22
GO:0002478 "antigen processing and presentation of exogenous peptide antigen" 7/401 33/22215 1.6884336359855018e-6 7.025951395458037e-5 5.5477105182380774e-5 12010/16149/14998/14999/14972/21354/21355 7
GO:0043903 "regulation of biological process involved in symbiotic interaction" 10/401 80/22215 1.7557119455786122e-6 7.232114458656142e-5 5.7104974391546786e-5 16149/12265/66141/76681/319236/74735/69097/217069/22670/94094 10
GO:0001906 "cell killing" 17/401 243/22215 2.2670148144965064e-6 9.244886413516754e-5 7.29978770267875e-5 12010/12266/93694/15945/17329/13731/14964/14972/15015/15024/15039/140474/17874/18126/21354/21355/70450 17
GO:0032728 "positive regulation of interferon-beta production" 8/401 49/22215 2.4819346974056524e-6 1.002111851091114e-4 7.912702698659604e-5 80861/16362/54123/100038882/246728/246727/24088/78781 8
GO:0002428 "antigen processing and presentation of peptide antigen via MHC class Ib" 7/401 35/22215 2.5763181680707006e-6 1.0300221068031682e-4 8.133082844301624e-5 12010/14964/14972/15015/15024/15039/21355 7
GO:0002753 "cytoplasmic pattern recognition receptor signaling pathway" 8/401 50/22215 2.908530040844903e-6 1.1515519909286907e-4 9.092686147107367e-5 80861/16145/15944/246727/231655/192656/69097/78781 8
GO:2001056 "positive regulation of cysteine-type endopeptidase activity" 13/401 148/22215 3.0076746160264387e-6 1.1793554888611362e-4 9.312223330389551e-5 12018/12122/12362/12364/14102/29816/15951/226691/107607/192656/20846/22035/22436 13
GO:0002696 "positive regulation of leukocyte activation" 21/401 362/22215 3.060003240087277e-6 1.1884469726738966e-4 9.38400993626765e-5 11501/12010/60533/16423/16149/12575/14389/14998/14999/16161/16169/16190/16362/85305/56048/17874/192656/12703/20910/230979/24099 21
GO:0060339 "negative regulation of type I interferon-mediated signaling pathway" 6/401 24/22215 3.4056463548507974e-6 1.3102099844416556e-4 1.0345454021339216e-4 56417/100038882/434341/246727/56045/20847 6
GO:0019724 "B cell mediated immunity" 13/401 152/22215 4.045514694787046e-6 1.5288451584591136e-4 1.2071803360074417e-4 12010/50909/232371/50908/12266/12268/16149/14102/14998/14999/16190/54123/17874 13
GO:0001913 "T cell mediated cytotoxicity" 9/401 69/22215 4.051283911345704e-6 1.5288451584591136e-4 1.2071803360074417e-4 12010/13731/14964/14972/15015/15024/15039/140474/21355 9
