ID Description GeneRatio BgRatio pvalue p.adjust qvalue geneID Count
GO:0019882 "antigen processing and presentation" 27/327 124/22215 4.6247916657781415e-24 1.1215119789511994e-21 9.346947366625296e-22 12010/80898/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/16913/16912/19186/19188/21354/21355/21356/213233/21825/22040 27
GO:0050792 "regulation of viral process" 28/327 173/22215 3.491835616930182e-21 7.903187946318646e-19 6.586704658461985e-19 80287/69550/100040563/15951/226691/71586/66141/100038882/57444/17069/246730/23961/23960/246728/246727/23962/671535/58185/319278/20684/20846/319236/74735/20821/20128/209387/94094/22695 28
GO:0048002 "antigen processing and presentation of peptide antigen" 21/327 78/22215 4.51797851047989e-21 9.586585651924517e-19 7.9896883132697e-19 12010/80898/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/21354/21355/21356/213233 21
GO:0002428 "antigen processing and presentation of peptide antigen via MHC class Ib" 16/327 35/22215 1.0612386619714666e-20 2.1193560337606644e-18 1.7663216863029738e-18 12010/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/21355 16
GO:0002460 "adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" 36/327 342/22215 1.980984814689391e-20 3.736357469928046e-18 3.1139691122134984e-18 12010/50909/667277/50908/317677/12268/60533/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/16068/17082/16362/54123/71890/17874/235587/18950/58185/20723/20848/21355/27060/22040 36
GO:0002250 "adaptive immune response" 41/327 473/22215 5.451020546075714e-20 9.740113028382657e-18 8.117641677480065e-18 12010/50909/667277/50908/317677/12268/60533/13169/80898/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/16068/17082/16362/54123/71890/17874/235587/18950/101540/75234/58185/20723/20848/21354/21355/27060/22040 41
GO:0002475 "antigen processing and presentation via MHC class Ib" 16/327 39/22215 9.347809846553127e-20 1.5867907214523934e-17 1.3224690982913056e-17 12010/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/21355 16
GO:0045824 "negative regulation of innate immune response" 20/327 81/22215 2.6569480891775994e-19 4.2953994108371185e-17 3.579887951734028e-17 93694/80861/14824/15951/226691/100038882/434341/64685/246730/23960/246727/547253/56045/20723/20847/21354/21355/231712/22040/20821 20
GO:0001916 "positive regulation of T cell mediated cytotoxicity" 17/327 50/22215 2.994176589477052e-19 4.6205588733066326e-17 3.8508835753657016e-17 12010/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/18950/21355 17
GO:0002476 "antigen processing and presentation of endogenous peptide antigen via MHC class Ib" 15/327 34/22215 3.452645810526316e-19 4.884055219473685e-17 4.070487692409973e-17 667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/21355 15
GO:0002484 "antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway" 15/327 34/22215 3.452645810526316e-19 4.884055219473685e-17 4.070487692409973e-17 667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/21355 15
GO:0071346 "cellular response to interferon-gamma" 22/327 112/22215 8.704426771155745e-19 1.1820611555229504e-16 9.851578594049112e-17 12362/626578/634650/14469/14468/55932/17472/229898/100702/229900/76074/236573/110558/16145/16362/15944/434341/64685/547253/80285/12703/20846 22
GO:0002449 "lymphocyte mediated immunity" 34/327 338/22215 1.0028791140655128e-18 1.3095286893278522e-16 1.0913923314202826e-16 12010/50909/667277/50908/317677/12268/93694/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/54123/71890/17874/235587/18950/75234/58185/20723/21354/21355/27060/22040 34
GO:0034340 "response to type I interferon" 17/327 56/22215 2.751531545756263e-18 3.459796147349079e-16 2.88347633333054e-16 66141/15976/54123/100038882/17874/434341/246730/23960/246728/246727/56045/319278/20684/20846/20847/22040/58203 17
GO:0001914 "regulation of T cell mediated cytotoxicity" 17/327 57/22215 3.869217540698949e-18 4.691426268097476e-16 3.909946146390517e-16 12010/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/18950/21355 17
GO:1903900 "regulation of viral life cycle" 24/327 152/22215 4.610341244362958e-18 5.397278801590429e-16 4.498220422812207e-16 80287/69550/15951/226691/71586/66141/100038882/57444/17069/246730/23961/23960/246728/246727/23962/671535/58185/319278/319236/74735/20821/20128/209387/94094 24
GO:0045071 "negative regulation of viral genome replication" 17/327 58/22215 5.4013345608116656e-18 6.112510277985202e-16 5.094311333144476e-16 80287/69550/15951/226691/71586/66141/100038882/57444/246730/23961/23960/246728/246727/23962/671535/58185/319278 17
GO:0001913 "T cell mediated cytotoxicity" 18/327 69/22215 5.761408647329156e-18 6.309671728284673e-16 5.258630371484132e-16 12010/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/18950/20723/21355 18
GO:0002486 "antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent" 14/327 33/22215 1.0807941227430071e-17 1.1466550145976591e-15 9.556495401096062e-16 667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040 14
GO:0016032 "viral process" 33/327 345/22215 1.5312397564045838e-17 1.57532090090714e-15 1.3129098772617292e-15 80287/12018/69550/100040563/15951/226691/71586/66141/100038882/57444/17069/18186/246730/23961/23960/246728/246727/23962/671535/58185/319278/20684/20846/319236/74735/20821/20128/209387/94094/22278/22329/58203/22695 33
GO:0002443 "leukocyte mediated immunity" 37/327 453/22215 2.8504675646226747e-17 2.846275700557053e-15 2.372153812292801e-15 12010/69550/50909/667277/50908/317677/12268/93694/230073/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/54123/71890/17874/235587/18950/75234/58185/20723/21354/21355/27060/142980/22040 37
GO:0042832 "defense response to protozoan" 14/327 36/22215 4.8158055378954143e-17 4.671331371758552e-15 3.893198582214398e-15 74481/626578/634650/14469/14468/55932/17472/100702/229900/76074/236573/60440/54396/17874 14
GO:0001819 "positive regulation of cytokine production" 38/327 493/22215 7.100490010210293e-17 6.696156551295541e-15 5.580736008024931e-15 12010/12362/12363/60533/230073/80861/229898/69146/14991/110558/15442/15951/226695/226691/381308/71586/16168/171095/17082/16362/54123/100038882/17874/246730/23960/246728/246727/18950/101540/58185/20846/20848/72512/21825/142980/217203/21937/22160 38
GO:0002833 "positive regulation of response to biotic stimulus" 24/327 171/22215 7.575638639957712e-17 6.951160319636874e-15 5.793262208878045e-15 60533/234311/80861/229898/14824/14991/15950/15951/226695/226691/236312/381308/70110/16145/54123/15944/434341/64685/80285/72512/319236/20128/209387/58203 24
GO:0002711 "positive regulation of T cell mediated immunity" 18/327 80/22215 1.0262685995246756e-16 9.168899724700719e-15 7.641578934964897e-15 12010/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/18950/58185/21355 18
GO:0001562 "response to protozoan" 14/327 39/22215 1.839031939903094e-16 1.6009008810182062e-14 1.3342288406098557e-14 74481/626578/634650/14469/14468/55932/17472/100702/229900/76074/236573/60440/54396/17874 14
GO:0060337 "type I interferon signaling pathway" 15/327 50/22215 3.3867962667456783e-16 2.8044325184394094e-14 2.3372807098876465e-14 66141/15976/54123/100038882/17874/434341/246730/23960/246728/246727/56045/20846/20847/22040/58203 15
GO:0071357 "cellular response to type I interferon" 15/327 50/22215 3.3867962667456783e-16 2.8044325184394094e-14 2.3372807098876465e-14 66141/15976/54123/100038882/17874/434341/246730/23960/246728/246727/56045/20846/20847/22040/58203 15
GO:0002832 "negative regulation of response to biotic stimulus" 20/327 115/22215 4.1950397878109323e-16 3.39099049514717e-14 2.826132067577891e-14 93694/80861/14824/15951/226691/100038882/434341/64685/246730/23960/246727/547253/56045/20723/20847/21354/21355/231712/22040/20821 20
GO:0019221 "cytokine-mediated signaling pathway" 33/327 389/22215 5.436351445644942e-16 4.2921891065033903e-14 3.577212407807492e-14 12362/15945/14600/66141/15976/16145/60440/16168/76527/108960/16362/54123/15944/100038882/17874/434341/64685/246730/23960/246728/246727/23962/547253/80285/56045/12703/20846/20847/20848/21937/22040/30940/58203 33
GO:0001910 "regulation of leukocyte mediated cytotoxicity" 20/327 118/22215 7.074530528414386e-16 5.458643441810645e-14 4.5493631723392026e-14 12010/93694/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/18950/20723/21354/21355 20
GO:0042742 "defense response to bacterium" 30/327 325/22215 1.2733150822121386e-15 9.60645489802269e-14 8.006247815172463e-14 12010/12362/626578/634650/14469/14468/55932/17472/100702/229900/76074/236573/14824/69146/14972/14991/16145/60440/15944/54396/100038882/17476/17874/246730/23960/246728/246727/231507/20723/21937 30
GO:0002709 "regulation of T cell mediated immunity" 19/327 109/22215 2.216027965522191e-15 1.6355249875973562e-13 1.3630853938955718e-13 12010/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/18950/58185/21355 19
GO:0002456 "T cell mediated immunity" 21/327 142/22215 2.303713420995302e-15 1.6640653328253298e-13 1.3868715958869814e-13 12010/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/18950/58185/20723/21355/22040 21
GO:0002697 "regulation of immune effector process" 33/327 413/22215 3.1121048599748595e-15 2.2011658332530517e-13 1.8345039174588644e-13 12010/69550/93694/230073/234311/80861/667977/14824/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/16362/71890/235587/18950/58185/20723/21354/21355/142980/110213/22040 33
GO:0001909 "leukocyte mediated cytotoxicity" 22/327 163/22215 3.5174868247737733e-15 2.4371158714504004e-13 2.0311502867866603e-13 12010/93694/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/17874/18950/75234/20723/21354/21355 22
GO:0045089 "positive regulation of innate immune response" 20/327 129/22215 4.238434305729915e-15 2.8778968935906126e-13 2.3985076660635813e-13 229898/14991/15950/15951/226695/226691/236312/381308/70110/16145/54123/15944/434341/64685/80285/72512/319236/20128/209387/58203 20
GO:0050777 "negative regulation of immune response" 24/327 205/22215 5.025562178859398e-15 3.301425226185364e-13 2.751486243852805e-13 93694/80861/14824/15216/15951/226691/17082/16362/100038882/434341/64685/246730/23960/246727/547253/235587/56045/20723/20847/21354/21355/231712/22040/20821 24
GO:0032103 "positive regulation of response to external stimulus" 33/327 420/22215 5.056674867794962e-15 3.301425226185364e-13 2.751486243852805e-13 15945/234311/80861/14165/229898/14824/14991/15950/15951/226695/226691/236312/381308/70110/16145/17082/76527/54123/15944/434341/64685/18186/80285/27226/101540/72512/21825/142980/21937/319236/20128/209387/58203 33
GO:0060759 "regulation of response to cytokine stimulus" 20/327 131/22215 5.756691194819388e-15 3.687540869134306e-13 3.0732841969562093e-13 12362/230073/71586/16145/108960/54123/15944/100038882/434341/246730/23960/246727/547253/80285/56045/12703/20847/21937/22040/58203 20
GO:0002819 "regulation of adaptive immune response" 25/327 229/22215 6.914558575901428e-15 4.3472085861454347e-13 3.6230669497120925e-13 12010/60533/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/17082/16362/54123/71890/235587/18950/58185/21355 25
GO:0001912 "positive regulation of leukocyte mediated cytotoxicity" 17/327 87/22215 9.203615142861399e-15 5.681140620002628e-13 4.734797608423243e-13 12010/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/18950/21355 17
GO:0002822 "regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" 24/327 213/22215 1.1966058244717372e-14 7.254422810859907e-13 6.04600837627825e-13 12010/60533/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/17082/16362/71890/235587/18950/58185/21355 24
GO:0031341 "regulation of cell killing" 20/327 137/22215 1.3968761389377499e-14 8.319990336304668e-13 6.934077675835035e-13 12010/93694/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/18950/20723/21354/21355 20
GO:0045069 "regulation of viral genome replication" 17/327 90/22215 1.6705614865285573e-14 9.778545253042158e-13 8.149672006876155e-13 80287/69550/15951/226691/71586/66141/100038882/57444/246730/23961/23960/246728/246727/23962/671535/58185/319278 17
GO:0002706 "regulation of lymphocyte mediated immunity" 24/327 217/22215 1.8199651904480856e-14 1.047251156198517e-12 8.728040021274672e-13 12010/93694/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/71890/235587/18950/58185/20723/21354/21355 24
GO:0002703 "regulation of leukocyte mediated immunity" 27/327 289/22215 2.6642432307397453e-14 1.5075176280602394e-12 1.2564010182856903e-12 12010/69550/93694/230073/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15216/71890/235587/18950/58185/20723/21354/21355/142980 27
GO:0002824 "positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains" 20/327 146/22215 4.86236311392649e-14 2.706184060947612e-12 2.2553981104804838e-12 12010/60533/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/71890/18950/58185/21355 20
GO:0002683 "negative regulation of immune system process" 33/327 458/22215 5.977453665691749e-14 3.273137934681208e-12 2.7279109428487982e-12 11815/69550/60533/93694/80861/14824/15216/15951/226691/17082/16362/100038882/434341/64685/246730/23960/246727/547253/235587/56045/20723/12703/20847/21354/21355/213233/21825/110213/66058/65963/231712/22040/20821 33
GO:0031343 "positive regulation of cell killing" 17/327 98/22215 7.349798147075204e-14 3.960724557034971e-12 3.3009619748267586e-12 12010/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/18950/21355 17
GO:0019058 "viral life cycle" 25/327 256/22215 9.100984770498958e-14 4.827788014975619e-12 4.023593266957434e-12 80287/69550/15951/226691/71586/66141/100038882/57444/17069/18186/246730/23961/23960/246728/246727/23962/671535/58185/319278/319236/74735/20821/20128/209387/94094 25
GO:0002821 "positive regulation of adaptive immune response" 20/327 153/22215 1.2067184233449342e-13 6.302783149624695e-12 5.252889266317705e-12 12010/60533/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/71890/18950/58185/21355 20
GO:0032479 "regulation of type I interferon production" 17/327 101/22215 1.235275863951821e-13 6.354184178964292e-12 5.295728105745606e-12 230073/80861/17472/71586/16362/54123/100038882/17874/64685/246730/23960/246728/246727/20846/72512/142980/22040 17
GO:0032606 "type I interferon production" 17/327 103/22215 1.7288324075367368e-13 8.760277647145107e-12 7.30102358438138e-12 230073/80861/17472/71586/16362/54123/100038882/17874/64685/246730/23960/246728/246727/20846/72512/142980/22040 17
GO:0001959 "regulation of cytokine-mediated signaling pathway" 18/327 121/22215 2.1398728535680306e-13 1.0683629908622741e-11 8.90399106871651e-12 12362/16145/108960/54123/15944/100038882/434341/246730/23960/246727/547253/80285/56045/12703/20847/21937/22040/58203 18
GO:0001906 "cell killing" 24/327 243/22215 2.256667286380493e-13 1.1103457155451847e-11 9.253885073670121e-12 12010/93694/15945/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/15331/17874/18950/75234/20723/21354/21355 24
GO:0002708 "positive regulation of lymphocyte mediated immunity" 19/327 151/22215 1.0071178398719249e-12 4.884521523378836e-11 4.070876321166517e-11 12010/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/71890/18950/58185/21355 19
GO:0032481 "positive regulation of type I interferon production" 14/327 69/22215 1.2671565983072079e-12 6.059150213032353e-11 5.049839786878835e-11 230073/80861/71586/16362/54123/100038882/17874/246730/23960/246728/246727/20846/72512/142980 14
GO:0031349 "positive regulation of defense response" 24/327 266/22215 1.618720131271217e-12 7.632715063424697e-11 6.361286129907941e-11 229898/14824/14991/15950/15951/226695/226691/236312/381308/70110/16145/17082/54123/15944/434341/64685/80285/72512/142980/21937/319236/20128/209387/58203 24
GO:0002705 "positive regulation of leukocyte mediated immunity" 20/327 176/22215 1.745881665044296e-12 8.119545551815596e-11 6.767022228751359e-11 12010/230073/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/71890/18950/58185/21355 20
GO:0032728 "positive regulation of interferon-beta production" 12/327 49/22215 4.794671955782506e-12 2.199717741875893e-10 1.8332970436903803e-10 230073/80861/71586/16362/54123/100038882/246730/23960/246728/246727/72512/142980 12
GO:0019079 "viral genome replication" 17/327 126/22215 5.12051395580261e-12 2.3178859839933148e-10 1.9317812650101633e-10 80287/69550/15951/226691/71586/66141/100038882/57444/246730/23961/23960/246728/246727/23962/671535/58185/319278 17
GO:0031348 "negative regulation of defense response" 22/327 234/22215 6.218794467185654e-12 2.778000949486223e-10 2.3152520121599776e-10 93694/80861/14824/15951/226691/100038882/434341/64685/246730/23960/246727/547253/56045/20723/20847/21354/21355/21937/231712/22040/20821/22695 22
GO:0060333 "interferon-gamma-mediated signaling pathway" 9/327 21/22215 7.315738545263894e-12 3.225575631320899e-10 2.6882713888816603e-10 16145/16362/15944/434341/64685/547253/80285/12703/20846 9
GO:0035455 "response to interferon-alpha" 10/327 31/22215 1.4041107565077031e-11 6.111482074799555e-10 5.093454404173692e-10 69550/15951/15957/15958/15959/66141/15976/246730/23960/21822 10
GO:0032608 "interferon-beta production" 13/327 68/22215 1.8208655513820133e-11 7.727298183677419e-10 6.440113950151121e-10 230073/80861/71586/16362/54123/100038882/64685/246730/23960/246728/246727/72512/142980 13
GO:0032648 "regulation of interferon-beta production" 13/327 68/22215 1.8208655513820133e-11 7.727298183677419e-10 6.440113950151121e-10 230073/80861/71586/16362/54123/100038882/64685/246730/23960/246728/246727/72512/142980 13
GO:0002699 "positive regulation of immune effector process" 23/327 289/22215 6.168459574115048e-11 2.5854222535951344e-9 2.1547523502561726e-9 12010/230073/234311/80861/667977/14964/14972/14980/14991/15006/15007/15013/15015/110557/15019/110558/15039/15040/16362/71890/18950/58185/21355 23
GO:0060338 "regulation of type I interferon-mediated signaling pathway" 10/327 36/22215 7.539104791507013e-11 3.091763586935044e-9 2.5767492509670254e-9 54123/100038882/434341/246730/23960/246727/56045/20847/22040/58203 10
GO:0002221 "pattern recognition receptor signaling pathway" 18/327 170/22215 7.558656191917781e-11 3.091763586935044e-9 2.5767492509670254e-9 230073/234311/80861/70110/71586/16145/108960/16362/54123/15944/17874/64685/246730/23960/246727/58185/142980/20128 18
GO:0002218 "activation of innate immune response" 11/327 51/22215 1.6753838836051273e-10 6.7713431962373896e-9 5.643398344775165e-9 15950/15951/226695/226691/236312/381308/72512/319236/20128/209387/58203 11
GO:0060700 "regulation of ribonuclease activity" 7/327 15/22215 8.168344928348912e-10 3.262533062558183e-8 2.719072590390325e-8 246730/23961/23960/246728/246727/23962/110213 7
GO:0032731 "positive regulation of interleukin-1 beta production" 11/327 59/22215 8.86573993381102e-10 3.499905473870745e-8 2.91690439927589e-8 12362/12363/229898/69146/15951/226695/226691/381308/17874/20848/217203 11
GO:0060339 "negative regulation of type I interferon-mediated signaling pathway" 8/327 24/22215 1.2123688788343222e-9 4.7310256823477286e-8 3.942949239330499e-8 100038882/434341/246730/23960/246727/56045/20847/22040 8
GO:1903555 "regulation of tumor necrosis factor superfamily cytokine production" 17/327 185/22215 2.3246316774215156e-9 8.968323346415961e-8 7.474413814484489e-8 60533/230073/71586/17874/246730/23960/246728/246727/20848/21825/142980/217203/21937/22040/20128/22160/22695 17
GO:0071706 "tumor necrosis factor superfamily cytokine production" 17/327 190/22215 3.4943450814882303e-9 1.3329552305227574e-7 1.110916567597914e-7 60533/230073/71586/17874/246730/23960/246728/246727/20848/21825/142980/217203/21937/22040/20128/22160/22695 17
GO:0140289 "protein mono-ADP-ribosylation" 6/327 11/22215 4.219408949776529e-9 1.591654820499035e-7 1.326522954035007e-7 671535/101187/243771/547253/235587/80285 6
GO:0002253 "activation of immune response" 21/327 300/22215 4.3368305816840085e-9 1.6179714093205725e-7 1.348455824588388e-7 50909/667277/50908/317677/625018/12268/15950/15951/226695/226691/236312/381308/18828/101540/268749/72512/22040/319236/20128/209387/58203 21
GO:0060760 "positive regulation of response to cytokine stimulus" 10/327 53/22215 4.6341898003397384e-9 1.7101167795818926e-7 1.4252519660541437e-7 12362/230073/71586/16145/54123/15944/434341/547253/80285/58203 10
GO:0032102 "negative regulation of response to external stimulus" 24/327 395/22215 5.519251317852328e-9 2.0148234649579198e-7 1.6792017591835946e-7 93694/80861/14824/15951/226691/100038882/434341/64685/18186/246730/23960/246727/547253/56045/20723/20847/21354/21355/21825/21937/231712/22040/20821/22695 24
GO:0032732 "positive regulation of interleukin-1 production" 11/327 70/22215 5.935202383349652e-9 2.1436183076034115e-7 1.7865424419310037e-7 12362/12363/229898/69146/15951/226695/226691/381308/17874/20848/217203 11
GO:0007249 "I-kappaB kinase/NF-kappaB signaling" 18/327 226/22215 7.664944058555245e-9 2.739208955662638e-7 2.2829218425924094e-7 12362/17082/108960/16362/17874/268749/19877/20846/142980/217203/22035/319236/74735/20821/20128/209387/94094/30940 18
GO:0032760 "positive regulation of tumor necrosis factor production" 13/327 109/22215 7.903416865864073e-9 2.795010443709222e-7 2.3294281288862529e-7 230073/71586/17874/246730/23960/246728/246727/20848/21825/142980/217203/21937/22160 13
GO:1903557 "positive regulation of tumor necrosis factor superfamily cytokine production" 13/327 111/22215 9.887494848366083e-9 3.460623196928129e-7 2.8841656161050493e-7 230073/71586/17874/246730/23960/246728/246727/20848/21825/142980/217203/21937/22160 13
GO:0032607 "interferon-alpha production" 8/327 31/22215 1.188779703491239e-8 4.118272544237507e-7 3.432266211583728e-7 230073/17472/71586/54123/64685/20846/142980/22040 8
GO:0032680 "regulation of tumor necrosis factor production" 16/327 182/22215 1.3068450834835786e-8 4.481554604471464e-7 3.735034114198681e-7 230073/71586/17874/246730/23960/246728/246727/20848/21825/142980/217203/21937/22040/20128/22160/22695 16
GO:0050830 "defense response to Gram-positive bacterium" 14/327 139/22215 1.9034061503809066e-8 6.462063880543178e-7 5.385637612867239e-7 12010/626578/634650/14469/14468/55932/17472/100702/229900/76074/236573/69146/17476/17874 14
GO:0032640 "tumor necrosis factor production" 16/327 187/22215 1.9226031099300812e-8 6.462611443774877e-7 5.386093965077705e-7 230073/71586/17874/246730/23960/246728/246727/20848/21825/142980/217203/21937/22040/20128/22160/22695 16
GO:0060330 "regulation of response to interferon-gamma" 6/327 15/22215 4.3490005799220656e-8 1.4334812591102344e-6 1.1946973488840585e-6 16145/15944/434341/547253/80285/12703 6
GO:0060334 "regulation of interferon-gamma-mediated signaling pathway" 6/327 15/22215 4.3490005799220656e-8 1.4334812591102344e-6 1.1946973488840585e-6 16145/15944/434341/547253/80285/12703 6
GO:0044403 "biological process involved in symbiotic interaction" 18/327 253/22215 4.406353575211869e-8 1.4384202296004128e-6 1.1988136042681684e-6 100040563/14469/14468/55932/100702/229900/236573/66141/15944/17069/17874/18186/319236/74735/20821/20128/209387/94094 18
